,,,,,,
,,,,,Year,Inf/Adj
,,,,,1999,"34,530.92"
,,,,,2000,"34,709.53"
,,,,,2001,"35,085.71"
,,,,,2002,"35,865.25"
,,,,,2003,"36,433.65"
,,,,,2004,"37,227.52"
,,,,,2005,"37,989.43"
,,,,,2006,"38,762.60"
,,,,,2007,"39,686.30"
,,,,,2008,"40,244.37"
,,,,,2009,"42,372.54"
,,,,,2010,"43,539.11"
,,,,,2011,"44,741.57"
,,,,,2012,"46,002.15"
,,,,,2013,"47,604.46"
,,,,,2014,"49,608.28"
,,,,,2015,"51,284.58"
,,,,,2016,"52,166.15"
,,,,,2017,"52,738.87"
,,,,,2018,"53,025.40"
,,,,,2019,"53,171.98"
,,,,,2020,"55,000.00"
