Year,Per Student,Per Faculty Member
1999,"263645",2865406
2000,"299489",3286554
2001,"279635",3057709
2002,"254972",2721906
2003,"234006",2535563
2004,"265269",2877665
2005,"300691",3182788
2006,"325006",3344353
2007,"366847",3722155
2008,"367679",3694508
2009,"261756",2799020
2010,"293928",3065999
2011,"336524",3647749
2012,"321218",3382233
2013,"350912",3605926
2014,"401326",3968423
2015,"417840",4235375
2016,"397496",3858931
2017,"426074",4102099
2018,"459572",4321379
2019,"485760",4395766
2020,"456812",4484445
